Long,Lat,Observer,GeneralCondition,Species,OtherSpecies,TreeHeight,TreeDBH1,TreeDBH2,TreeDBH3,TreeDBH4,LengthCWD,CrownDensity,DeadBranches,EpicormicGrowth,EpicormicPostFire,NoHollows,LeafDiscolouration,AvgPsyllidTree,AvgPsyllidRegen,PresenceTreeShrubs,PresenceReproduction,Comments,PlotID,TreeID,GlobalID,NoMistletoe,DeadTrees,CreationDate,Creator,EditDate,Editor,DateCreated
149.1799025,-35.17271676,"Ab
",,Eucalyptus melliodora,,,144,,,,,9,3,,,0,,,,,,,TN_15_C,,{b8f4a3b8-005a-4145-b61f-bbb8db7a2ab1},2,,25:59.0,brett.howland_ACTGOV,25:59.0,brett.howland_ACTGOV,
149.1802058,-35.17283166,Ab,,Eucalyptus melliodora,,,82,,,,,9,5,,,0,,,,,,,TN_15_C,,{54a7edde-f1fd-4c1b-a3a6-4ed7c4d9db87},0,,25:59.0,brett.howland_ACTGOV,25:59.0,brett.howland_ACTGOV,
149.1800613,-35.17281082,Ab,,Eucalyptus melliodora,,,48,,,,,9,3,,,0,,,,,,,TN_15_C,,{315fdc9b-c2a5-4335-81b3-885a8ef5b1f4},1,,25:59.0,brett.howland_ACTGOV,25:59.0,brett.howland_ACTGOV,
149.1744685,-35.17518388,Ab,,Eucalyptus blakelyi,,,143,,,,,3,2,,,8,,,,,,,TN_3_C,,{8cd37a33-35d5-4127-8d47-8ab4306926a6},0,,25:59.0,brett.howland_ACTGOV,25:59.0,brett.howland_ACTGOV,
149.1698178,-35.17056917,Ab,,Eucalyptus blakelyi,,,65,,,,,1,2,,,0,,,,,,Leaves discoloured 100 epicormic growth,TN_1_C,,{68ec9777-f3f9-4c2b-b045-efe568aa6dd9},5,,25:59.0,brett.howland_ACTGOV,25:59.0,brett.howland_ACTGOV,
149.1697827,-35.17078917,Ab,,Eucalyptus melliodora,,,40,53,27,,,7,5,,,0,,,,,,,TN_1_C,,{43d7f510-e30f-4d82-8463-4ea17170ae40},3,,25:59.0,brett.howland_ACTGOV,25:59.0,brett.howland_ACTGOV,
149.168241,-35.180477,Ab,,Eucalyptus melliodora,,,95,,,,,5,2,,,0,,,,,,,TN_6_C,,{ae916b4c-722f-4658-b7be-b2500e133492},0,,25:59.0,brett.howland_ACTGOV,25:59.0,brett.howland_ACTGOV,
149.1683268,-35.18043783,Ab,,Eucalyptus blakelyi,,,80,29,,,,1,2,,,0,,,,,,,TN_1_C,,{935ad922-88ab-4e33-855e-804b4aec5a62},0,,25:59.0,brett.howland_ACTGOV,25:59.0,brett.howland_ACTGOV,
149.1685442,-35.18049967,AB,,Eucalyptus melliodora,,,40,,,,,5,3,,,0,,,,,,,TN_6_C,,{9f44f082-6c77-4202-810b-21fec55dbba5},0,,25:59.0,brett.howland_ACTGOV,25:59.0,brett.howland_ACTGOV,
149.1761027,-35.21016933,Ab,,Eucalyptus mannifera,,88,88,,,,,9,4,,,2,,,,,,,KB_3_C,,{76697511-9cf3-45d6-97dc-a6dc4a26c473},1,,46:39.3,brett.howland_ACTGOV,46:39.3,brett.howland_ACTGOV,15/05/2020 2:00
149.176283,-35.21019067,AB,,Eucalyptus melliodora,,,43,61,,,,9,4,,,0,,,,,,,KB_3_C,,{97c51558-da82-4274-9003-0c55cafdd800},6,,48:55.3,brett.howland_ACTGOV,48:55.3,brett.howland_ACTGOV,15/05/2020 2:00
149.176311,-35.21021276,Ab,,Eucalyptus melliodora,,,70,,,,,9,5,,,0,,,,,,,KB_3_C,,{72d61c37-816f-4bf8-bca5-b6132b17d58c},4,,50:43.1,brett.howland_ACTGOV,50:43.1,brett.howland_ACTGOV,15/05/2020 2:00
149.175988,-35.210142,TO,,Eucalyptus melliodora,,,101,,,,,3,3,,,6,,,,,,,KB_3_C,,{c2c4761b-4593-42f1-b891-5ef01b60365f},18,,58:24.2,brett.howland_ACTGOV,58:24.2,brett.howland_ACTGOV,15/05/2020 2:00
149.176021,-35.20995467,TO,,Eucalyptus melliodora,,,54,,,,,5,4,,,0,,,,,,,,,{2b95f530-8685-4eb2-a811-2e3f6345136f},4,,05:51.2,brett.howland_ACTGOV,05:51.2,brett.howland_ACTGOV,15/05/2020 2:00
149.1760425,-35.20988666,To,,Eucalyptus melliodora,,,51,,,,,7,4,,,0,,,,,,,,,{b3f17449-2d1d-4100-a88f-68dda7e3e4ca},0,,08:36.3,brett.howland_ACTGOV,08:36.3,brett.howland_ACTGOV,15/05/2020 2:00
149.175797,-35.20996017,To,,Eucalyptus melliodora,,,61,,,,,3,3,,,0,,,,,,,,,{e82bbf6e-9c60-4ec8-93d6-a825348808e0},2,,12:19.0,brett.howland_ACTGOV,12:19.0,brett.howland_ACTGOV,15/05/2020 2:00
149.1757012,-35.21002833,To,,Eucalyptus mannifera,,,61,,,,,7,3,,,1,,,,,,,,,{6b5fec71-c1f9-4c83-8f08-a50b79a6fbd3},0,,18:24.6,brett.howland_ACTGOV,18:24.6,brett.howland_ACTGOV,15/05/2020 2:00
149.1756572,-35.21023267,To,,Eucalyptus macrorhyncha,,,64,,,,,1,1,,,8,,,,,,,,,{f67d272b-4e1b-41c1-9e3d-9ddfebacc88e},0,,21:11.1,brett.howland_ACTGOV,21:11.1,brett.howland_ACTGOV,15/05/2020 2:00
149.1756588,-35.2105475,To,,Eucalyptus mannifera,,,66,75,,,,7,4,,,0,,,,,,,,,{b48e89ee-27cb-4aa8-a17a-67509ea931ae},2,,27:49.9,brett.howland_ACTGOV,27:49.9,brett.howland_ACTGOV,15/05/2020 2:00
149.1754963,-35.2104505,To,,Eucalyptus mannifera,,,53,,,,,7,4,,,4,,,,,,,,,{6e741a8a-b3d4-4012-a164-eb98a209b4ee},0,,33:12.8,brett.howland_ACTGOV,33:12.8,brett.howland_ACTGOV,15/05/2020 2:00
149.1755825,-35.2106025,To,,Eucalyptus blakelyi,,,133,,,,,5,3,,,1,,,,,,,,,{874018de-d56b-42da-bb83-ee9cbd279159},0,,39:56.7,brett.howland_ACTGOV,39:56.7,brett.howland_ACTGOV,15/05/2020 2:00
149.175528,-35.21066067,To,,Eucalyptus rossii,,,72,,,,,3,3,,,5,,,,,,,,,{01b1eb45-4f24-4369-b949-cc322484cf7f},0,,49:11.9,brett.howland_ACTGOV,49:11.9,brett.howland_ACTGOV,15/05/2020 2:00
149.1755372,-35.210645,To,,Eucalyptus melliodora,,,40,75,,,,7,4,,,1,,,,,,,,,{2874f122-2d46-410b-b81a-35d22ba2bdfb},5,,54:04.3,brett.howland_ACTGOV,54:04.3,brett.howland_ACTGOV,15/05/2020 2:00
149.1751892,-35.21044333,To,,Other species,,,53,,,,,1,1,,,9,,,,,,No species known as dead,,,{304d8cee-7cda-4b4d-93d0-3c3e4add8e17},0,6,57:41.9,brett.howland_ACTGOV,57:41.9,brett.howland_ACTGOV,15/05/2020 2:00
149.1741556,-35.20845176,To,,Eucalyptus melliodora,,,103,,,,,5,4,,,0,,,,,,,,,{549d7e37-dcb4-42d6-a6c1-b7a0d222c619},0,,07:21.7,brett.howland_ACTGOV,07:21.7,brett.howland_ACTGOV,15/05/2020 2:00
149.1737063,-35.20747633,To,,Eucalyptus melliodora,,,57,,,,,3,3,,,0,,,,,,,KB_1_C,,{691ce415-fec4-443d-89c3-e68f1e740c49},0,,11:41.4,brett.howland_ACTGOV,11:41.4,brett.howland_ACTGOV,15/05/2020 2:00
149.1711778,-35.17240133,Ec,,Eucalyptus melliodora,,16,85,,,,,5,3,,,1,,,,,,,TN_TreeC,,{c900d6e2-d1be-4e2c-9e51-8d1a9f652781},1,,25:40.1,brett.howland_ACTGOV,25:40.1,brett.howland_ACTGOV,20/05/2020 2:00
149.1742833,-35.1724735,Ec,,Eucalyptus bridgesiana,,21,185,,,,,7,4,,,4,,,,,,,,,{3a112dfd-d188-4324-bfaa-40e5febe86e0},1,,37:41.8,brett.howland_ACTGOV,37:41.8,brett.howland_ACTGOV,20/05/2020 2:00
149.1745715,-35.17196067,EC,,Eucalyptus melliodora,,13,80,65,,,,7,4,,,1,,,,,,,,,{ff2076e3-603b-4811-9eaa-98f8ff06581f},0,,41:41.4,brett.howland_ACTGOV,41:41.4,brett.howland_ACTGOV,20/05/2020 2:00
149.1690499,-35.18010429,Ec,,Other species,Unknown dead,12,86,,,,,1,1,,,,,,,,,,TN_13_C,,{572830b3-697b-438b-a70f-3291fb04a2cd},,6,56:25.2,brett.howland_ACTGOV,56:25.2,brett.howland_ACTGOV,20/05/2020 2:00
149.1690612,-35.17999832,Ec,,Eucalyptus blakelyi,,10,37,,,,,3,3,,,0,,,,,,,TN_13_C,,{c9ea5641-c708-4587-a2a8-5ab9297a9255},0,,58:26.1,brett.howland_ACTGOV,58:26.1,brett.howland_ACTGOV,20/05/2020 2:00
149.1706043,-35.18062433,Ec,,Eucalyptus melliodora,,18,90,,,,,3,2,,,3,,,,,,,TN_TreeD,,{1439d145-7e6b-4dda-8854-e15480075c9a},0,,19:26.8,brett.howland_ACTGOV,19:26.8,brett.howland_ACTGOV,20/05/2020 2:00
149.168177,-35.18047933,Ec,,Eucalyptus blakelyi,,14,63,,,,,1,1,,,2,,,,,,,TN_6_C,,{86d1d910-b68c-48d6-aefc-46976e7e1c25},0,,19:30.7,brett.howland_ACTGOV,19:30.7,brett.howland_ACTGOV,20/05/2020 2:00
